# Group , DSID , name , tags (tags are not really used for anything in this context)
# Zjets
dibosons  , 361086 , Sherpa_CT10_ZqqZll                                           , e3926_s2608_s2183_r7772_r7676_p2613
# Tribosons                                                                      
tribosons , 361620 , Sherpa_CT10_WWW_3l3v                                         , not_in_p2419
tribosons , 361621 , Sherpa_CT10_WWZ_4l2v                                         , not_in_p2419
tribosons , 361622 , Sherpa_CT10_WWZ_2l4v                                         , not_in_p2419
tribosons , 361623 , Sherpa_CT10_WZZ_5l1v                                         , not_in_p2419
tribosons , 361624 , Sherpa_CT10_WZZ_3l3v                                         , not_in_p2419
tribosons , 361625 , Sherpa_CT10_ZZZ_6l0v                                         , not_in_p2419
tribosons , 361626 , Sherpa_CT10_ZZZ_4l2v                                         , not_in_p2419
tribosons , 361627 , Sherpa_CT10_ZZZ_2l4v                                         , not_in_p2419
# Higgs
higgs     , 341079 , PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_WWlvlv_EF_15_5  , to_be_cross_checked
higgs     , 341122 , PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_tautaull        , to_be_cross_checked
higgs     , 341195 , PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_mumu            , to_be_cross_checked
higgs     , 342178 , PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_ee              , to_be_cross_checked
higgs     , 341080 , PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_WWlvlv_EF_15_5 , to_be_cross_checked
higgs     , 341155 , PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_tautaull       , to_be_cross_checked
higgs     , 341206 , PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_mumu           , to_be_cross_checked
higgs     , 342189 , PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_ee             , to_be_cross_checked
higgs     , 342284 , Pythia8EvtGen_A14NNPDF23LO_WH125_inc                         , to_be_cross_checked
higgs     , 342285 , Pythia8EvtGen_A14NNPDF23LO_ZH125_inc                         , to_be_cross_checked
higgs     , 341270 , aMcAtNloHerwigppEvtGen_UEEE5_CTEQ6L1_CT10ME_ttH125_inc_semil , to_be_cross_checked
# Top
ttbar     , 410000 , PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad          , e3698_a766_a818_r7676_p2613
singletop , 410011 , PowhegPythiaEvtGen_P2012_singletop_tchan_lept_top            , e3824_s2608_s2183_r7725_r7676_p2613
singletop , 410012 , PowhegPythiaEvtGen_P2012_singletop_tchan_lept_antitop        , e3824_s2608_s2183_r7725_r7676_p2613
singletop , 410015 , PowhegPythiaEvtGen_P2012_Wt_dilepton_top                     , e3753_s2608_s2183_r7725_r7676_p2613
singletop , 410015 , PowhegPythiaEvtGen_P2012_Wt_dilepton_top                     , e3753_a766_a818_r7676_p2613
singletop , 410016 , PowhegPythiaEvtGen_P2012_Wt_dilepton_antitop                 , e3753_s2608_s2183_r7725_r7676_p2613
singletop , 410016 , PowhegPythiaEvtGen_P2012_Wt_dilepton_antitop                 , e3753_a766_a818_r7676_p2613
singletop , 410025 , PowhegPythiaEvtGen_P2012_SingleTopSchan_noAllHad_top         , e3998_s2608_s2183_r7725_r7676_p2613
singletop , 410026 , PowhegPythiaEvtGen_P2012_SingleTopSchan_noAllHad_antitop     , e3998_s2608_s2183_r7725_r7676_p2613
ttv       , 410066 , MadGraphPythia8EvtGen_A14NNPDF23LO_ttW_Np0                   , e4111_s2608_s2183_r7725_r7676_p2613
ttv       , 410067 , MadGraphPythia8EvtGen_A14NNPDF23LO_ttW_Np1                   , e4111_s2608_s2183_r7725_r7676_p2613
ttv       , 410068 , MadGraphPythia8EvtGen_A14NNPDF23LO_ttW_Np2                   , e4111_s2608_s2183_r7725_r7676_p2613
ttv       , 410081 , MadGraphPythia8EvtGen_A14NNPDF23_ttbarWW                     , e4111_s2608_s2183_r7725_r7676_p2613
